datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,demand_th,unmet_demand
2026-04-21 05:00:00,8.253275109170305,3.0702183406113535,3.78,1.0,3.78,0.0
2026-04-21 06:00:00,8.689956331877728,3.2326637554585145,3.9799999999999995,1.0,3.98,4.440892098500626e-16
2026-04-21 07:00:00,8.427947598253274,3.135196506550218,3.86,1.0,3.86,0.0
2026-04-21 08:00:00,7.139737991266375,2.6559825327510915,3.27,1.0,3.27,0.0
2026-04-21 09:00:00,6.310043668122271,2.3473362445414847,2.89,1.0,2.89,0.0
2026-04-21 10:00:00,5.5895196506550215,2.079301310043668,2.56,1.0,2.56,0.0
2026-04-21 11:00:00,5.393013100436681,2.0062008733624452,2.47,1.0,2.47,0.0
2026-04-21 12:00:00,5.240174672489082,1.9493449781659384,2.3999999999999995,1.0,2.4,4.440892098500626e-16
2026-04-21 13:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-21 14:00:00,5.109170305676855,1.9006113537117901,2.34,1.0,2.34,0.0
2026-04-21 15:00:00,5.327510917030567,1.981834061135371,2.44,1.0,2.44,0.0
2026-04-21 16:00:00,5.458515283842794,2.0305676855895194,2.4999999999999996,1.0,2.5,4.440892098500626e-16
2026-04-21 17:00:00,5.960698689956331,2.217379912663755,2.7299999999999995,1.0,2.73,4.440892098500626e-16
2026-04-21 18:00:00,6.921397379912663,2.5747598253275106,3.17,1.0,3.17,0.0
2026-04-21 19:00:00,7.620087336244541,2.8346724890829695,3.49,1.0,3.49,0.0
2026-04-21 20:00:00,8.16593886462882,3.0377292576419213,3.74,1.0,3.74,0.0
2026-04-21 21:00:00,7.882096069868995,2.932139737991266,3.61,1.0,3.61,0.0
2026-04-21 22:00:00,7.074235807860262,2.6316157205240174,3.24,1.0,3.24,0.0
2026-04-21 23:00:00,5.829694323144104,2.1686462882096067,2.67,1.0,2.67,0.0
2026-04-22 00:00:00,5.3711790393013095,1.9980786026200872,2.46,1.0,2.46,0.0
2026-04-22 01:00:00,5.436681222707423,2.0224454148471613,2.4899999999999998,1.0,2.49,4.440892098500626e-16
2026-04-22 02:00:00,5.6550218340611345,2.103668122270742,2.59,1.0,2.59,0.0
